"chapter","audio_file","shloka","charan","start_sec","end_sec","confidence","verified","status"
"2","CH02.mp3","4","3","86.9","91.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","4","4","91.5","96.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","5","","96.5","119","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","5","1","96.5","102.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","5","2","102.5","108","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","5","3","108","113.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","5","4","113.1","119","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","6","","119","137.9","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","6","1","119","123.6","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","6","2","123.6","128","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","6","3","128","132.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","6","4","132.5","137.9","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","7","","137.9","156.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","7","1","137.9","143","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","7","2","143","147.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","7","3","147.1","151.2","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","7","4","151.2","156.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","8","","156.8","176.4","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","8","1","156.8","161.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","8","2","161.8","166","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","8","3","166","170.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","8","4","170.8","176.4","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","9","","180.2","197.4","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","9","1","180.2","184.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","9","2","184.8","188.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","9","3","188.8","192.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","9","4","192.5","197.4","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","10","","197.4","215","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","10","1","197.4","201.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","10","2","201.5","205.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","10","3","205.1","209","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","10","4","209","215","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","11","","219","236.6","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","11","1","219","223.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","11","2","223.5","227.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","11","3","227.8","231.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","11","4","231.8","236.6","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","12","","236.6","253.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","12","1","236.6","241.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","12","2","241.1","245.2","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","12","3","245.2","249.2","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","12","4","249.2","253.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","13","","253.8","271","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","13","1","253.8","258.1","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","13","2","258.1","262.3","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","13","3","262.3","266.3","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","13","4","266.3","271","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","14","","271","288.6","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","14","1","271","275.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","14","2","275.5","279.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","14","3","279.8","283.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","14","4","283.8","288.6","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","15","","288.6","306","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","15","1","288.6","293","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","15","2","293","297.2","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","15","3","297.2","301.2","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","15","4","301.2","306","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","16","","306","323.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","16","1","306","310.5","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","16","2","310.5","314.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","16","3","314.8","318.9","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","16","4","318.9","323.8","0.99","True","AUTO_VERIFIED"
"2","CH02.mp3","17","","323.8","341.2","0.99","True","AUTO_VERIFIED"
